class_name,class_dates,class_times,class_professor,year,semester
American Indian Studies (AM IND) M265A - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,"Riley, A.R.",2024,fall
American Indian Studies (AM IND) 265B - Federal Indian Law I Lec 1,TR,12:10pm-1:35pm,"Riley, A.R.",2024,fall
American Indian Studies (AM IND) M267 - Federal Indian Law II Lec 1,MTR,1:45pm-3:10pm,"Van Schilfgaarde,",2024,fall
American Indian Studies (AM IND) 280A - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,"Van Schilfgaarde,",2024,fall
American Indian Studies (AM IND) 280B - Indigenous Peoples in International Law Lec 1,MTR,10:25am-12pm,"Van Schilfgaarde,",2024,fall
Anthropology (ANTHRO) 2 - Archaeology: Introduction Lec 1,MWF,10am-10:50am,"Smith, M.L.",2024,fall
Anthropology (ANTHRO) 3 - Culture and Society Lec 1,TR,9:30am-10:45am,"Cattelino, J.R.",2024,fall
Anthropology (ANTHRO) 4 - Culture and Communication Lec 1,TR,3:30pm-4:45pm,"Alim, H.",2024,fall
Anthropology (ANTHRO) 110 - Principles of Archaeology Lec 1,TR,9:30am-10:45am,"Schachner, G.T.",2024,fall
Anthropology (ANTHRO) 113P - Archaeology of North America Lec 1,MW,2pm-3:15pm,"Neubauer, F.",2024,fall
Anthropology (ANTHRO) 116Q - Selected Topics in Archaeology of China Lec 1,TR,12:30pm-1:45pm,"Li, M.",2024,fall
C117 - Selected Laboratory Topics in Archaeology: Lecture 1,Select Anthropology (ANTHRO) C117 - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,2024,fall
Anthropology (ANTHRO) C117 - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,"Wake, T.A.",2024,fall
Anthropology (ANTHRO) 119 - Selected Topics in Archaeology: Archaeology of Apocalypse Lec 1,MW,9:30am-10:45am,"de Leon, J.P.",2024,fall
Anthropology (ANTHRO) 124P - Human Behavioral Ecology Lec 1,TR,2pm-3:15pm,"Wood, B.M.",2024,fall
"Anthropology (ANTHRO) M126N - Genes, Disease, and Culture Lec 1",TR,11am-12:15pm,"Bigham, A.W.",2024,fall
Anthropology (ANTHRO) 126P - Paleopathology Lec 1,MW,8am-9:15am,"Rashidi, J.S.",2024,fall
Anthropology (ANTHRO) 128P - Primate Behavior Nonhuman to Human Lec 1,TR,12:30pm-1:45pm,"Perry, S.E.",2024,fall
Anthropology (ANTHRO) 130 - Study of Culture Lec 1,MW,12:30pm-1:45pm,"Thein, S.M.",2024,fall
Anthropology (ANTHRO) 134 - Anthropology of Migration Lec 1,MW,12:30pm-1:45pm,"Hart, L.",2024,fall
Anthropology (ANTHRO) 136B - Introduction to Psychological Anthropology: Current Topics and Research Lec 1,MW,11am-12:15pm,"Hollan, D.W.",2024,fall
Anthropology (ANTHRO) 139 - Selected Topics in Cultural Anthropology: Anthropology of Extreme Human Experience Lec 1,MW,11am-12:15pm,"Lemelson, R.B.",2024,fall
Anthropology (ANTHRO) 141 - Careers in Anthropology Lec 1,T,4pm-6:50pm,"Loyd, H.M.",2024,fall
"Anthropology (ANTHRO) 149 - Selected Topics in Social Anthropology: Marriage, Family, and Kinship in Chinese Culture Lec 1",W,9am-11:50am,"Yan, Y.",2024,fall
Anthropology (ANTHRO) 151 - Ethnography of Everyday Speech Lec 1,TR,8am-9:15am,The Staff,2024,fall
"Anthropology (ANTHRO) 152R - Language, Culture, and Education Lec 1",MW,3:30pm-4:45pm,The Staff,2024,fall
Anthropology (ANTHRO) 154Q - Gender and Language in Society Lec 1,TR,3:30pm-4:45pm,"Mengesha, Z.",2024,fall
Anthropology (ANTHRO) 163Q - Societies of Central Asia Lec 1,MW,8am-9:15am,"Levine, N.",2024,fall
M205A - Selected Laboratory Topics in Archaeology: Lecture 1,Select Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,2024,fall
Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 1,W,1pm-4:50pm,"Wake, T.A.",2024,fall
M205A - Selected Laboratory Topics in Archaeology: Lecture 2,Select Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 2,M,3pm-5:50pm,2024,fall
Archaeology (ARCHEOL) M205A - Selected Laboratory Topics in Archaeology Lec 2,M,3pm-5:50pm,"Shahat, A.K.",2024,fall
Art 31A - Rise of Modernism in Global Context Lec 1,F,9am-11:50am,"Vikram, A.",2024,fall
Art M185 - Whose Monument Where: Course on Public Art Lec 1,TR,2pm-3:50pm,Lopez Gaspar de Al,2024,fall
Art History (ART HIS) 21 - Medieval Art Lec 1,TR,2pm-3:15pm,"Cohen, M.M.",2024,fall
Art History (ART HIS) 29 - Chinese Art Lec 1,MW,11am-12:15pm,"Lee, H.",2024,fall
Art History (ART HIS) M114C - Classical Archaeology: Greco-Roman Painting Lec 1,TR,12:30pm-1:45pm,"Papadopoulos, J.K.",2024,fall
Art History (ART HIS) C116A - Middle Byzantine Art and Architecture Lec 1,TR,11am-12:15pm,"Gerstel, S.E.",2024,fall
Art History (ART HIS) 121C - Italian Renaissance Art of 16th Century Lec 1,MW,2pm-3:15pm,The Staff,2024,fall
Art History (ART HIS) 124 - Northern Renaissance Art Lec 1,TR,12:30pm-1:45pm,"Harwell, G.T.",2024,fall
Art History (ART HIS) 127B - European Art of 19th Century Lec 1,MW,11am-12:15pm,"Medvedev, N.",2024,fall
"Art History (ART HIS) C128B - History of Photography, 1910 to Present Lec 1",TR,2pm-3:15pm,No instructors,2024,fall
Art History (ART HIS) C136A - Selected Topics in African American Art Lec 1,TR,3:30pm-4:45pm,"Barber, T.E.",2024,fall
Art History (ART HIS) C142B - Latin American Art of 20th Century Lec 1,MW,2pm-3:15pm,"Rosenblum, B.T.",2024,fall
Art History (ART HIS) 251B - Japanese Art Lec 1,R,1pm-2:50pm,"Kersey, K.W.",2024,fall
Asian American Studies (ASIA AM) 10 - History of Asian Americans Lec 1,TR,9:30am-10:45am,"Fong, K.N.",2024,fall
Asian American Studies (ASIA AM) 20 - Contemporary Asian American Communities Lec 1,TR,12:30pm-1:45pm,"Tamai, L.Y.",2024,fall
Asian American Studies (ASIA AM) 40W - Asian American Movement Lec 1,TR,11am-12:15pm,"Bascara, V.",2024,fall
"Asian American Studies (ASIA AM) M161 - Ethnic, Cultural, and Gender Issues in America's Healthcare Systems Lec 1",MW,11am-12:15pm,"Sangalang, C.C.",2024,fall
Asian American Studies (ASIA AM) 171C - Critical Issues in U.S.-Korea Relations Lec 1,TR,2pm-3:15pm,"Kim, S.",2024,fall
Bioengineering (BIOENGR) 10 - Introduction to Bioengineering Lec 1,F,10am-11:50am,"Linsley, C.",2024,fall
Bioengineering (BIOENGR) 100 - Bioengineering Fundamentals Lec 1,TR,4pm-5:50pm,"Kamei, D.T.",2024,fall
Bioengineering (BIOENGR) C104 - Physical Chemistry of Biomacromolecules Lec 1,TR,2pm-3:50pm,"Wong, G.C.",2024,fall
Bioengineering (BIOENGR) C105 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,"Deming, T.J.",2024,fall
Bioengineering (BIOENGR) 120 - Biomedical Transducers Lec 1,MW,12pm-1:50pm,"Schmidt, J.J.",2024,fall
Bioengineering (BIOENGR) C135 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,"Sangiorgio, S.N.",2024,fall
Bioengineering (BIOENGR) CM145 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,"Park, J.",2024,fall
Bioengineering (BIOENGR) M153 - Introduction to Microscale and Nanoscale Manufacturing Lec 1,MW,12:30pm-1:45pm,"Chiou, P.",2024,fall
Bioengineering (BIOENGR) C166 - Wearable Bioelectronics Lec 1,MW,4pm-5:50pm,"Chen, J.",2024,fall
Bioengineering (BIOENGR) 177A - Bioengineering Capstone Design I Lec 1,TR,6pm-7:50pm,"Kamariza, M.",2024,fall
Bioengineering (BIOENGR) CM178 - Introduction to Biomaterials Lec 1,TR,10am-11:50am,"Linsley, C.",2024,fall
Bioengineering (BIOENGR) M184 - Introduction to Computational and Systems Biology Lec 1,F,2pm-3:50pm,TA,2024,fall
Bioengineering (BIOENGR) 188 - Special Courses in Bioengineering Lec 1,MW,8am-9:50am,"Wilson, J.L.",2024,fall
Bioengineering (BIOENGR) 188 - Special Courses in Bioengineering Lec 2,MW,2pm-3:50pm,"Wilson, J.L.",2024,fall
Bioengineering (BIOENGR) C204 - Physical Chemistry of Biomacromolecules Lec 1,TR,2pm-3:50pm,"Wong, G.C.",2024,fall
Bioengineering (BIOENGR) C205 - Engineering of Bioconjugates Lec 1,MW,10am-11:50am,"Deming, T.J.",2024,fall
Bioengineering (BIOENGR) M209 - Signal and Image Processing for Biomedicine Lec 1,8:30am-10:30am,"Ruan, D.",3pm-4:50pm,2024,fall
Bioengineering (BIOENGR) M214A - Digital Speech Processing Lec 1,MW,2pm-3:50pm,"Alwan, A.A.",2024,fall
Bioengineering (BIOENGR) M215 - Biochemical Reaction Engineering Lec 1,TR,2pm-3:50pm,"Annabi, N.",2024,fall
Bioengineering (BIOENGR) 220 - Introduction to Medical Informatics Lec 1,"Bui, A.A.",Select Bioengineering (BIOENGR) 220 - Introduction to Medical Informatics Lec 1,"Bui, A.A.",2024,fall
Bioengineering (BIOENGR) 223A - Programming Laboratory for Medical and Imaging Informatics I Lec 1,"Speier, W.F.",Select Bioengineering (BIOENGR) 223A - Programming Laboratory for Medical and Imaging Informatics I Lec 1,"Speier, W.F.",2024,fall
Bioengineering (BIOENGR) M227 - Medical Information Infrastructures and Internet Technologies Lec 1,"Bui, A.A.",Select Bioengineering (BIOENGR) M227 - Medical Information Infrastructures and Internet Technologies Lec 1,"Bui, A.A.",2024,fall
Bioengineering (BIOENGR) C235 - Orthopaedic Biomechanical Engineering Lec 1,TR,8am-9:50am,"Sangiorgio, S.N.",2024,fall
Bioengineering (BIOENGR) CM245 - Molecular Biotechnology for Engineers Lec 1,MW,2pm-3:50pm,"Park, J.",2024,fall
Bioengineering (BIOENGR) C266 - Wearable Bioelectronics Lec 1,MW,4pm-5:50pm,"Chen, J.",2024,fall
Bioinformatics (Graduate) (BIOINFO) 229 - Current Topics in Bioinformatics Lec 1,3pm-4:50pm,"Zhou, X.J.",Select Bioinformatics (Graduate) (BIOINFO) 229 - Current Topics in Bioinformatics Lec 1,2024,fall
Biomathematics (BIOMATH) 170A - Introductory Biomathematics for Medical Investigators Lec 1,MW,12pm-1:20pm,"Gornbein, J.A.",2024,fall
Biomathematics (BIOMATH) 200 - Research Frontiers in Biomathematics Lec 1,W,9am-10:50am,"Sehl, M.E.",2024,fall
Biomathematics (BIOMATH) 201 - Deterministic Models in Biology Lec 1,MW,12pm-1:50pm,"Chou, T.",2024,fall
"Biomathematics (BIOMATH) 202 - Biological Systems: Structure, Function, Evolution Lec 1",TR,9am-10:50am,"Savage, V.M.",2024,fall
Biomathematics (BIOMATH) M260A - Methodology in Clinical Research I Lec 1,MW,10am-11:20am,"Tseng, C.",2024,fall
Biomathematics (BIOMATH) M261 - Responsible Conduct of Research Involving Humans Lec 1,W,4pm-5:50pm,"Wenger, N.S.",2024,fall
Biomathematics (BIOMATH) M281 - Survival Analysis Lec 1,TR,10am-11:50am,No instructors,2024,fall
Biomathematics (BIOMATH) M282 - Longitudinal Data Lec 1,TR,1pm-2:50pm,No instructors,2024,fall
Biomedical Research (BMD RES) 1A - Science in Your Time Lec 1,MWF,10am-10:50am,No instructors,2024,fall
Biomedical Research (BMD RES) 5HA - Biomedical Research: Concepts and Strategies Lec 1,TR,11am-12:15pm,"Fluitt, A.H.",2024,fall
Biomedical Research (BMD RES) 5HB - Biomedical Research: Essential Skills and Concepts Lec 1,TR,11am-12:15pm,"Turlo, K.A.",2024,fall
Biostatistics (BIOSTAT) 120 - Biostatistics in Public Health Lec 1,TR,1pm-2:50pm,"Brookmeyer, R.S.",2024,fall
Biostatistics (BIOSTAT) 200A - Methods in Biostatistics A Lec 1,TR,8am-9:50am,"Klomhaus, A.",2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 1,MW,2:30pm-4:20pm,"Lee, M.L.",2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 80,"Lee, M.L.",Select Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 83,8:30am-12:30pm,2024,fall
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 83,8:30am-12:30pm,No instructors,Select Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 1,2024,fall
Biostatistics (BIOSTAT) 202C - Theory of Bayesian Statistics Lec 1,M,W,1pm-2:50pm,2024,fall
Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 1,MW,1pm-2:20pm,"Kim, G.J.",2024,fall
Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 80,"Kim, G.J.",Select Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 1,MW,2024,fall
Biostatistics (BIOSTAT) 211A - Topics in Applied Regression Lec 1,MWF,9am-9:50am,"Belin, T.R.",2024,fall
Biostatistics (BIOSTAT) 213 - Introduction to Computational Methods in Biostatistics Lec 1,MW,10am-11:50am,"Ramirez, C.M.",2024,fall
Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 1,TR,10am-11:50am,"Li, G.",2024,fall
Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 80,"Kawaguchi, E.S.",Select Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 1,TR,2024,fall
Biostatistics (BIOSTAT) 216 - Mathematical Methods for Biostatistics Lec 1,TR,10am-11:50am,TA,2024,fall
Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 1,TR,1pm-2:50pm,"Weiss, R.",2024,fall
Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 80,"Zoller, J.A.",Select Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 1,TR,2024,fall
Biostatistics (BIOSTAT) 250A - Linear Statistical Models Lec 1,W,F,11am-12:50pm,2024,fall
Biostatistics (BIOSTAT) M403B - Computer Management and Analysis of Health Data Using SAS Lec 1,MW,3pm-5:50pm,TA,2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 1,MWF,10am-10:50am,"Lavelle, L.",2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 2,MWF,1pm-1:50pm,"Lavelle, L.",2024,fall
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 3,MWF,3pm-3:50pm,"Ow, F.P.",2024,fall
Chemistry and Biochemistry (CHEM) 14B - General Chemistry for Life Scientists II Lec 1,MWF,12pm-12:50pm,"Scerri, E.R.",2024,fall
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 1,T,8am-8:50am,"Pang, J.",2024,fall
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 2,R,8am-8:50am,"Pang, J.",2024,fall
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 1,MWF,12pm-12:50pm,"Riu, M.Y.",2024,fall
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 2,MWF,2pm-2:50pm,"Riu, M.Y.",2024,fall
Chemistry and Biochemistry (CHEM) 14CL - General and Organic Chemistry Laboratory II Lec 1,T,8am-8:50am,"Henary, M.",2024,fall
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 1,MWF,9am-9:50am,"Pham, H.V.",2024,fall
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 2,MWF,11am-11:50am,"Pham, H.V.",2024,fall
Chemistry and Biochemistry (CHEM) 17 - Chemical Principles Lec 1,MWF,4pm-4:50pm,"Reslan, R.",2024,fall
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 1,MWF,8am-8:50am,"Kavner, A.",2024,fall
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 2,MWF,11am-11:50am,"Kavner, A.",2024,fall
Chemistry and Biochemistry (CHEM) 20AH - Chemical Structure (Honors) Lec 1,MWF,12pm-12:50pm,"Narang, P.",2024,fall
Chemistry and Biochemistry (CHEM) 30A - Organic Chemistry I: Structure and Reactivity Lec 1,MWF,12pm-12:50pm,"Shao, H.",2024,fall
Chemistry and Biochemistry (CHEM) 30AL - General Chemistry Laboratory II Lec 1,M,9am-9:50am,TA,2024,fall
"Chemistry and Biochemistry (CHEM) 30B - Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy Lec 1",MWF,2pm-2:50pm,"Ow, F.P.",2024,fall
Chemistry and Biochemistry (CHEM) 30BL - Organic Chemistry Laboratory I Lec 1,M,8am-8:50am,"Deifel, N.",2024,fall
Chemistry and Biochemistry (CHEM) 30CL - Organic Chemistry Laboratory II Lec 1,TR,11am-11:50am,"Deifel, N.",2024,fall
Chemistry and Biochemistry (CHEM) C107 - Organometallic Chemistry Lec 1,MWF,F,3pm-3:50pm,2024,fall
Chemistry and Biochemistry (CHEM) 110A - Physical Chemistry: Chemical Thermodynamics Lec 1,MWF,11am-11:50am,"Shao, H.",2024,fall
Chemistry and Biochemistry (CHEM) 110B - Topics in Physical Chemistry Lec 1,MWF,9am-9:50am,"Mason, T.G.",2024,fall
Chemistry and Biochemistry (CHEM) 113A - Physical Chemistry: Introduction to Quantum Mechanics Lec 1,MWF,12pm-12:50pm,"Neuhauser, D.",2024,fall
Chemistry and Biochemistry (CHEM) C115A - Advanced Quantum Chemistry with Laboratory I Lec 1,MW,9am-10:15am,"Narang, P.",2024,fall
Chemistry and Biochemistry (CHEM) C123A - Advanced Thermodynamics and Statistical Mechanics with Laboratory I Lec 1,TR,9am-10:15am,"Schwartz, B.J.",2024,fall
Chemistry and Biochemistry (CHEM) M124 - Philosophy of Science: Historical Lec 1,MW,2pm-3:15pm,"Scerri, E.R.",2024,fall
Chemistry and Biochemistry (CHEM) C125 - Machine Learning and Applications in Chemistry Lec 1,MWF,2pm-2:50pm,No instructors,2024,fall
Chicana/o and Central American Studies (CCAS) 10A - Introduction to Chicana/Chicano Studies: History and Culture Lec 1,M,W,6:30pm-7:45pm,2024,fall
Chicana/o and Central American Studies (CCAS) 20 - Central American Studies: Histories and Cultures Lec 1,MW,11am-12:15pm,"Boj Lopez, F.E.",2024,fall
Chicana/o and Central American Studies (CCAS) M103D - Contemporary Chicano Theater: Beginning of Chicano Theater Movement Lec 1,R,3pm-5:50pm,"Araiza, J.E.",2024,fall
"Chicana/o and Central American Studies (CCAS) M105C - Chicana/Chicano Literature since el Movimiento, 1970s to Present Lec 1",MW,12:30pm-1:45pm,"Perez-Torres, R.",2024,fall
"Chicana/o and Central American Studies (CCAS) 105F - Gender, Fiction, and Social Change Lec 1",MW,2pm-3:50pm,"Harris, A.A.",2024,fall
Chicana/o and Central American Studies (CCAS) 113 - Day of Dead Ritual Lec 1,TR,4pm-5:50pm,"Ramirez-Oropeza, M",2024,fall
Chicana/o and Central American Studies (CCAS) M125 - U.S./Mexico Relations Lec 1,MW,12pm-1:50pm,No instructors,2024,fall
"Chicana/o and Central American Studies (CCAS) M126 - Politics of Crisis: Migration, Identity, and Religion Lec 1",MW,12pm-1:50pm,"Guerra, L.F.",2024,fall
"Chicana/o and Central American Studies (CCAS) M127 - Farmworker Movements, Social Justice, and United Farm Workers Legacy Lec 1",TR,9:30am-10:45am,"Espino, V.",2024,fall
Chicana/o and Central American Studies (CCAS) 131 - Barrio Popular Culture Lec 1,MW,6pm-7:50pm,The Staff,2024,fall
Chicana/o and Central American Studies (CCAS) 149 - Gendered Politics and Chicana/Latina Political Participation Lec 1,MW,2pm-3:50pm,"Andalon, R.",2024,fall
Chicana/o and Central American Studies (CCAS) 153D - U.S. Central American Narratives Lec 1,MW,11am-12:15pm,"Alma, K.",2024,fall
Chicana/o and Central American Studies (CCAS) M155B - U.S. Latino Politics Lec 1,MW,9:30am-10:45am,"de La Vega, I.M.",2024,fall
Chicana/o and Central American Studies (CCAS) M185 - Whose Monument Where: Course on Public Art Lec 1,TR,2pm-3:50pm,Lopez Gaspar de Al,2024,fall
Chicana/o and Central American Studies (CCAS) 187C - Aztec Art Lec 1,MW,9:30am-10:45am,"Ellis, H.",2024,fall
Classics (CLASSIC) 10 - Discovering Greeks Lec 1,MWF,9am-9:50am,"Haselswerdt, E.H.",2024,fall
Classics (CLASSIC) 51A - Art and Archaeology of Ancient Greece Lec 1,TR,9:30am-10:45am,"Papadopoulos, J.K.",2024,fall
Classics (CLASSIC) 144 - Topical Studies in Ancient Culture: Classics and Social Justice Lec 1,MW,12:30pm-1:45pm,"Nguyen, K.",2024,fall
Classics (CLASSIC) 144 - Topical Studies in Ancient Culture Lec 2,MW,2pm-3:15pm,The Staff,2024,fall
Classics (CLASSIC) M146A - Plato--Earlier Dialogues Lec 1,TR,11am-12:15pm,"Lawrence, G.",2024,fall
Classics (CLASSIC) M153K - Classical Archaeology: Greco-Roman Painting Lec 1,TR,12:30pm-1:45pm,"Papadopoulos, J.K.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 1,MW,10am-11:50am,"Hurwitz, B.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 2,MW,12pm-1:50pm,"Hurwitz, B.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 3,MW,2pm-3:50pm,"Carpenter, R.M.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 4,TR,4pm-5:50pm,"Arbabzadah, N.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 5,TR,10am-11:50am,"Hurwitz, B.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 6,TR,12pm-1:50pm,"McLean, C.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 7,TR,2pm-3:50pm,"McLean, C.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 8,MW,4pm-5:50pm,"Jones, G.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 9,MW,6pm-7:50pm,"Jones, G.",2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 10,TR,6pm-7:50pm,No instructors,2024,fall
Communication (COMM) 10 - Introduction to Communication Lec 1,TR,4pm-5:50pm,"Suman, M.",2024,fall
Communication (COMM) M72A - Sex from Biology to Gendered Society Lec 1,TR,2pm-3:15pm,"Vaughn, R.A.",2024,fall
Communication (COMM) 101 - Freedom of Communication Lec 1,R,5pm-7:50pm,"Kassabian, R.",2024,fall
Communication (COMM) 102 - Principles of Argumentation Lec 1,MW,4pm-5:50pm,"Carpenter, R.M.",2024,fall
"Communication (COMM) 104 - Rumors, Gossip, and Urban Legends in Journalism Lec 1",TR,2pm-3:15pm,"Arbabzadah, N.",2024,fall
Communication (COMM) 108 - Communication and Identity Lec 1,TR,11am-12:15pm,"Kicenski, K.K.",2024,fall
Communication (COMM) 109 - Entrepreneurial Communication Lec 1,M,10am-12:50pm,"Peterson, S.",2024,fall
Communication (COMM) M117 - Negotiation Lec 1,F,12pm-2:50pm,"Stroessner, S.J.",2024,fall
Communication (COMM) M123 - Social Cognition Lec 1,MW,2pm-3:15pm,"Stroessner, S.J.",2024,fall
Communication (COMM) M144A - Conversational Structures I Lec 1,MW,11am-12:15pm,"Clayman, S.E.",2024,fall
Communication (COMM) 146 - Evolution of Mass Media Images Lec 1,MW,11am-12:15pm,"Huppin, M.A.",2024,fall
Communication (COMM) M147 - Sociology of Mass Communication Lec 1,MW,3:30pm-4:45pm,"Yeritsian, G.",2024,fall
Communication (COMM) 150 - Methodologies in Communication Research Lec 1,TR,2pm-3:50pm,"Kernell, G.C.",2024,fall
Communication (COMM) 151 - Computer-Mediated Communication Lec 1,MWF,2pm-2:50pm,TA,2024,fall
Communication (COMM) 152 - Analysis of Communication Effects Lec 1,TR,2pm-3:15pm,"Suman, M.",2024,fall
Communication (COMM) 156 - Social Networking Lec 1,W,6pm-8:50pm,"Lamberson, P.J.",2024,fall
Communication (COMM) 158 - Python for Social Sciences Lec 1,MW,3:30pm-4:45pm,No instructors,2024,fall
Communication (COMM) 160 - Political Communication Lec 1,R,4pm-6:50pm,"Kernell, G.C.",2024,fall
Communication (COMM) M165 - Agitational Communication Lec 1,W,5pm-7:50pm,"Von Blum, P.",2024,fall
Communication (COMM) 173 - Affect and Emotion in Political Communication Lec 1,MW,11am-12:15pm,"Soroka, S.N.",2024,fall
Communication (COMM) 185 - Field Studies in Communication Lec 1,T,5pm-7:50pm,"Peterson, S.",2024,fall
Community Engagement and Social Change (CESC) 50XP - Engaging Los Angeles Lec 1,M,4pm-5:50pm,"Marquez, R.",2024,fall
Community Health Sciences (COM HLT) 20 - Public Health Perspectives on Sexual and Reproductive Health Lec 1,MW,4pm-5:50pm,"Wagman, J.A.",2024,fall
